,room_type,price,host_is_superhost,host_acceptance_rate,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
25756,Shared room,142.0,0.0,98.0,2.5,4.8,1.0,1.0,Shared room in bed and breakfast
25769,Shared room,142.0,0.0,98.0,2.5,4.8,1.0,1.0,Shared room in bed and breakfast
25770,Shared room,205.0,0.0,98.0,2.5,4.0,1.0,1.0,Shared room in home
25771,Shared room,207.0,0.0,98.0,2.5,4.8,1.0,1.0,Shared room in bed and breakfast
25871,Shared room,280.0,0.0,100.0,1.0,5.0,1.0,0.0,Shared room in rental unit
25921,Shared room,345.0,0.0,92.0,1.0,4.8,1.0,0.0,Shared room in guesthouse
25922,Shared room,345.0,0.0,92.0,1.0,4.8,1.0,0.0,Shared room in guesthouse
26057,Shared room,23999.0,0.0,38.0,1.0,4.8,1.0,0.0,Shared room in bed and breakfast
26257,Shared room,201.0,0.0,64.0,2.0,4.8,1.0,0.0,Shared room in home
26259,Shared room,201.0,0.0,64.0,2.0,4.8,1.0,1.0,Shared room in home
26278,Shared room,227.0,0.0,92.0,2.0,4.8,1.0,1.0,Shared room in rental unit
