,room_type,price,host_is_superhost,host_acceptance_rate,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
465,Private room,700.0,0.0,100.0,1.0,4.95,1.0,0.0,Private room in rental unit
468,Private room,750.0,1.0,100.0,1.0,4.8,1.0,0.0,Private room in home
471,Private room,200.0,0.0,0.0,1.0,4.8,1.0,0.0,Private room in rental unit
472,Private room,500.0,0.0,25.0,1.0,5.0,1.0,0.0,Private room in rental unit
473,Private room,1114.0,0.0,99.0,1.0,5.0,1.0,0.0,Private room in farm stay
475,Private room,1000.0,0.0,99.0,1.0,4.8,1.0,0.0,Private room in condo
483,Private room,500.0,1.0,100.0,2.0,4.99,1.0,0.0,Private room in rental unit
484,Private room,780.0,0.0,100.0,1.0,4.57,1.0,0.0,Private room in rental unit
485,Private room,2271.0,0.0,100.0,1.0,4.95,1.0,1.0,Room in boutique hotel
487,Private room,500.0,0.0,25.0,1.0,3.83,1.0,0.0,Private room in rental unit
489,Private room,428.0,0.0,100.0,1.0,4.21,1.0,1.0,Private room in rental unit
490,Private room,708.0,0.0,67.0,1.0,4.47,1.0,0.0,Private room in home
491,Private room,9999.0,0.0,99.0,1.0,4.8,1.0,0.0,Private room in rental unit
498,Private room,1114.0,0.0,99.0,2.5,4.86,0.0,0.0,Private room in rental unit
504,Private room,500.0,0.0,99.0,1.0,5.0,1.0,0.0,Private room in rental unit
508,Private room,2300.0,1.0,91.0,1.5,4.91,1.0,0.0,Room in boutique hotel
509,Private room,1114.0,0.0,99.0,1.5,4.8,0.0,0.0,Private room in rental unit
510,Private room,667.0,0.0,99.0,1.0,4.8,1.0,0.0,Private room in rental unit
512,Private room,708.0,1.0,100.0,1.0,4.96,1.0,0.0,Private room in rental unit
527,Private room,300.0,1.0,98.0,1.5,4.71,1.0,1.0,Private room in condo
528,Private room,1114.0,0.0,99.0,1.5,5.0,0.0,0.0,Private room in home
529,Private room,420.0,0.0,60.0,1.0,3.0,1.0,0.0,Private room in rental unit
530,Private room,350.0,0.0,0.0,1.5,4.8,1.0,0.0,Private room in rental unit
531,Private room,350.0,0.0,90.0,1.0,4.61,1.0,0.0,Private room in home
533,Private room,355.0,0.0,100.0,3.0,4.69,1.0,1.0,Private room in home
534,Private room,600.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in rental unit
538,Private room,600.0,0.0,99.0,1.0,4.64,1.0,0.0,Private room in rental unit
539,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in rental unit
540,Private room,1500.0,0.0,0.0,1.5,4.8,1.0,1.0,Private room in rental unit
541,Private room,647.0,1.0,100.0,1.0,4.98,1.0,0.0,Private room in condo
542,Private room,290.0,0.0,99.0,1.0,4.76,1.0,0.0,Private room in rental unit
544,Private room,434.0,0.0,39.0,1.5,4.94,1.0,0.0,Private room in home
545,Private room,546.0,0.0,100.0,1.0,4.85,1.0,1.0,Private room in home
549,Private room,700.0,0.0,67.0,1.5,4.83,1.0,0.0,Private room in rental unit
550,Private room,1114.0,0.0,99.0,1.5,4.8,0.0,0.0,Private room in home
551,Private room,376.0,0.0,0.0,1.0,4.8,1.0,0.0,Private room in rental unit
552,Private room,350.0,0.0,67.0,1.5,5.0,1.0,0.0,Private room in rental unit
553,Private room,1114.0,1.0,100.0,1.5,4.92,1.0,0.0,Private room in home
557,Private room,1114.0,0.0,87.0,2.0,4.36,1.0,0.0,Private room in serviced apartment
558,Private room,627.0,0.0,67.0,1.5,4.76,1.0,0.0,Private room in loft
559,Private room,1114.0,0.0,100.0,1.5,4.58,1.0,1.0,Private room in home
574,Private room,1114.0,0.0,99.0,1.0,5.0,0.0,0.0,Private room in home
578,Private room,9605.0,0.0,33.0,10.0,4.75,1.0,1.0,Private room in condo
579,Private room,550.0,1.0,100.0,1.0,5.0,1.0,0.0,Private room in home
580,Private room,477.0,1.0,87.0,1.5,4.93,1.0,0.0,Private room in home
582,Private room,700.0,0.0,67.0,1.5,4.75,1.0,0.0,Private room in rental unit
583,Private room,430.0,0.0,89.0,1.0,4.89,1.0,0.0,Private room in rental unit
584,Private room,454.0,0.0,100.0,1.5,4.56,1.0,0.0,Private room in rental unit
597,Private room,350.0,0.0,0.0,1.0,4.8,1.0,0.0,Private room in rental unit
602,Private room,329.0,0.0,99.0,1.0,4.8,1.0,0.0,Private room in rental unit
603,Private room,588.0,1.0,93.0,1.0,5.0,1.0,0.0,Private room in condo
607,Private room,500.0,0.0,71.0,1.0,4.91,1.0,0.0,Private room in home
609,Private room,515.0,1.0,99.0,2.0,4.97,1.0,0.0,Private room in home
